Bus Name,Bus Type,Start Time,End Time,Rating,Total Duration,Price,Seats Available,Route Name,Route Link,State
Gola Bus Service,VE A/C Seater / Sleeper (2+1),22:00,11:10,4.6,13h 10m,1599,30 Seats available,Delhi To Gorakhpur,https://www.redbus.in/bus-tickets/delhi-to-gorakhpur,Uttar
AdRAO SAHAB TRAVELS PRIVATE LIMITED,A/C Seater / Sleeper (2+1),23:20,14:40,4.4,15h 20m,1799,23 Seats available,Delhi To Gorakhpur,https://www.redbus.in/bus-tickets/delhi-to-gorakhpur,Uttar
KVS Holidays,Non A/C Seater / Sleeper (2+1),20:30,5:30,1.5,09h 00m,719,30 Seats available,Farrukhabad Up To Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Uttar
Chaturvedi Bus Service,Non A/C Seater / Sleeper (2+1),20:00,5:20,1.9,09h 20m,450,35 Seats available,Farrukhabad Up To Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Uttar
Chaturvedi Bus Service,A/C Seater/Sleeper (2+1),19:40,5:00,1.9,09h 20m,550,47 Seats available,Farrukhabad Up To Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Uttar
Yuvraj Travels,NON AC Seater / Sleeper 2+1,18:45,5:00,3.4,10h 15m,700,40 Seats available,Farrukhabad Up To Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Uttar
PTC-SKYBUS,A/C Seater/Sleeper (2+1),22:30,5:30,4.5,07h 00m,549,13 Seats available,Lucknow To Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Uttar
Mahalaxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:15,5:01,3.6,05h 46m,599,28 Seats available,Lucknow To Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Uttar
Yolo Bus,A/C Seater / Sleeper (2+1),22:23,5:26,3.9,07h 03m,549,27 Seats available,Lucknow To Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Uttar
Raj Kalpana Travels Pvt.Ltd,A/C Seater / Sleeper (2+1),23:45,5:15,3.7,05h 30m,1899,34 Seats available,Lucknow To Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Uttar
FlixBus,Bharat Benz A/C Sleeper (2+1),10:10,14:05,3.9,03h 55m,203.57,4 Seats available,Delhi To Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,Uttar
Blueworld tourist private limited,A/C Seater / Sleeper (2+2),11:45,13:46,3.6,02h 01m,555,36 Seats available,Delhi To Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,Uttar
International Tourist Centre,A/C Seater / Sleeper (2+2),11:45,15:30,4.8,03h 45m,799,36 Seats available,Delhi To Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,Uttar
Blueworld tourist private limited,A/C Seater / Sleeper (2+2),11:50,13:51,3.6,02h 01m,555,37 Seats available,Delhi To Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,Uttar
Ashok Tour And Travels,AC Seater (2+2),18:00,23:30,3.5,05h 30m,649,18 Seats available,Lucknow To Ballia,https://www.redbus.in/bus-tickets/lucknow-to-ballia,Uttar
